Sampling_type,SiteName,siteID,site_group,SiteID,site_num,Fluoride,Chloride,Nitrite,Bromide,NitrateN,PhosphateP,Sulfate,NH4N
River,Route 66,Rt_5,Rt,RouteSS_5,5,.,9.89,.,0.03,0.04,0.02,40.14,0.01
South,Route 66,Rt_6,Rt,RouteSS_6,6,.,6.47,.,0,0.01,0.06,40.23,0.08
West,Route 66,Rt_7,Rt,RouteSS_7,7,.,6.61,.,0.06,0.01,0.04,40.33,0
Center,Route 66,Rt_8,Rt,RouteSS_8,8,.,11.49,.,0.05,0.01,0.01,52.28,0.01
Ditch,Route 66,Rt_9,Rt,RouteSS_9,9,.,.,.,.,.,.,.,.
East,Route 66,Rt_10,Rt,RouteSS_10,10,.,10.88,.,0.03,0.01,0.03,56.13,0.01
North,Route 66,Rt_11,Rt,RouteSS_11,11,.,10.1,.,0.04,0.02,0.02,44.71,0.01
River,Route 66,Rt_12,Rt,RouteSS_12,12,.,15.46,.,0.06,0.12,0.02,42.91,0.01
South,Route 66,Rt_13,Rt,RouteSS_13,13,.,10.76,.,0.05,0.01,0.04,43.38,0
West,Route 66,Rt_14,Rt,RouteSS_14,14,.,13.64,.,0.06,0.03,0.05,53.6,0.01
Center,Route 66,Rt_15,Rt,RouteSS_15,15,.,9.85,.,0.08,0.01,0.02,32.38,0.01
East,Route 66,Rt_16,Rt,RouteSS_16,16,.,13.49,.,0.06,0.01,0.07,44.6,0.01
North,Route 66,Rt_17,Rt,RouteSS_17,17,.,11.65,.,0.05,0.28,0.05,39.2,0.02
River,Route 66,Rt_18,Rt,RouteSS_18,18,.,5.96,.,0.02,0.1,0.03,40.84,0.02
South,Route 66,Rt_19,Rt,RouteSS_19,19,.,8.02,.,0.05,0.05,0.02,36.1,0.01
West,Route 66,Rt_20,Rt,RouteSS_20,20,.,7.31,.,0.05,0.22,0.06,37.3,0.02
Center,Route 66,Rt_21,Rt,RouteSS_21,21,.,27.83,.,0.1,0.01,0.01,131.5,0
East,Route 66,Rt_22,Rt,RouteSS_22,22,.,8.06,.,0.05,0.01,0.02,50.27,0
North,Route 66,Rt_23,Rt,RouteSS_23,23,.,9.04,.,0.06,0.12,0.02,62.25,0
River,Route 66,Rt_24,Rt,RouteSS_24,24,.,5.37,.,0.02,0.35,0.03,29.85,0.03
South,Route 66,Rt_25,Rt,RouteSS_25,25,.,8.47,.,0.07,0.01,0.04,64.39,0
West,Route 66,Rt_26,Rt,RouteSS_26,26,.,14.87,.,0.06,0.02,0.03,95.46,0
Center,Route 66,Rt_27,Rt,RouteSS_27,27,.,16.24,.,0.11,0.01,0.01,64.16,0
South,Route 66,Rt_28,Rt,RouteSS_28,28,.,10.07,.,0.06,0.02,0.05,41.39,0
East,Route 66,Rt_29,Rt,RouteSS_29,29,.,13.38,.,0.07,0.05,0.03,65.12,0
North,Route 66,Rt_30,Rt,RouteSS_30,30,.,10.08,.,0.06,0.01,0.03,45.4,0
River,Route 66,Rt_31,Rt,RouteSS_31,31,.,6.51,.,0.03,0.09,0.03,33.31,0.03
West,Route 66,Rt_32,Rt,RouteSS_32,32,.,10.84,.,0.06,0.02,0.02,47.63,0
Center,Route 66,Rt_33,Rt,RouteSS_33,33,.,13.36,.,0.05,0.05,0.01,50.59,0.01
East,Route 66,Rt_34,Rt,RouteSS_34,34,.,12.43,.,0.07,0.02,0.03,45.98,0.01
North,Route 66,Rt_35,Rt,RouteSS_35,35,.,12.58,.,0.05,0.09,0.03,43.43,0.01
River,Route 66,Rt_36,Rt,RouteSS_36,36,.,19.25,.,0.08,0.11,0.03,45.01,0.02
South,Route 66,Rt_37,Rt,RouteSS_37,37,.,16.65,.,0.05,0.07,0.02,45.98,0.01
West,Route 66,Rt_38,Rt,RouteSS_38,38,.,16.8,.,0.07,0.19,0.02,47.09,0.01
Center,Route 66,Rt_39,Rt,RouteSS_39,39,.,8.67,.,0.04,0.02,0.03,49.17,0
East,Route 66,Rt_40,Rt,RouteSS_40,40,.,6.81,.,0.05,0.03,0.03,47.7,0.01
North,Route 66,Rt_41,Rt,RouteSS_41,41,.,7.8,.,0.05,0.06,0,44.95,0
River,Route 66,Rt_42,Rt,RouteSS_42,42,.,13.25,.,0.06,0.16,0.04,52.01,0
South,Route 66,Rt_43,Rt,RouteSS_43,43,.,9.92,.,0.06,0.07,0.02,48.53,0.01
West,Route 66,Rt_44,Rt,RouteSS_44,44,.,10.83,.,0.04,0.11,0.03,55.06,0
Center,Route 66,Rt_45,Rt,RouteSS_45,45,.,5.7,.,0.05,0.07,0.03,40.93,0.03
East,Route 66,Rt_46,Rt,RouteSS_46,46,.,10.87,.,0,0.06,0.04,56.26,0.03
North,Route 66,Rt_47,Rt,RouteSS_47,47,.,4.56,.,0.04,0.05,0.04,29.78,0.04
River,Route 66,Rt_48,Rt,RouteSS_48,48,.,6.61,.,0.06,0.42,0.02,45.59,0.05
South,Route 66,Rt_49,Rt,RouteSS_49,49,.,2.91,.,0.03,0.08,0.03,30.71,0
West,Route 66,Rt_50,Rt,RouteSS_50,50,.,2.99,.,0,0.04,0.02,30.08,0
Center,Route 66,Rt_51,Rt,RouteSS_51,51,.,5.63,.,0.06,0.04,0.03,37.99,0.01
East,Route 66,Rt_52,Rt,RouteSS_52,52,.,7.3,.,0.02,0.03,0.02,42.42,0
North,Route 66,Rt_53,Rt,RouteSS_53,53,.,6.34,.,0.06,0.05,0.05,40.15,0
River,Route 66,Rt_54,Rt,RouteSS_54,54,.,12.68,.,0.05,0.11,0.04,46.22,0
South,Route 66,Rt_55,Rt,RouteSS_55,55,.,5.67,.,0.03,0.04,0.02,38.83,0
West,Route 66,Rt_56,Rt,RouteSS_56,56,.,6.58,.,0.02,0.06,0.01,38.73,0
Center,Savannah,Sv_1,Sv,Savannah_1,1,.,8.19,.,0.05,0.01,0.05,41.36,0.06
Ditch,Savannah,Sv_2,Sv,Savannah_2,2,.,10.23,.,0.04,0.01,0.02,40.81,0.03
East,Savannah,Sv_3,Sv,Savannah_3,3,.,10.13,.,0.05,0.01,0.04,41.25,0.05
North,Savannah,Sv_4,Sv,Savannah_4,4,.,.,.,.,.,.,.,.
River,Savannah,Sv_5,Sv,Savannah_5,5,.,9.26,.,0.03,0.09,0.03,38.18,0.01
South,Savannah,Sv_6,Sv,Savannah_6,6,.,.,.,.,.,.,.,.
West,Savannah,Sv_7,Sv,Savannah_7,7,.,14.48,.,0.04,0.01,0.05,40.4,0.03
Center,Savannah,Sv_8,Sv,Savannah_8,8,.,10.68,.,0.04,0.01,0.06,35.65,0.04
Ditch,Savannah,Sv_9,Sv,Savannah_9,9,.,13.08,.,0.07,0.03,0.03,49.02,0.04
East,Savannah,Sv_10,Sv,Savannah_10,10,.,11.67,.,0.05,0.01,0,37.64,0.09
North,Savannah,Sv_11,Sv,Savannah_11,11,.,10.17,.,0.05,0.01,0.06,38.78,0.05
River,Savannah,Sv_12,Sv,Savannah_12,12,.,21.44,.,0.07,0.06,0.01,43.4,0.03
South,Savannah,Sv_13,Sv,Savannah_13,13,.,10.53,.,0.04,0.01,0,40.61,0.02
West,Savannah,Sv_14,Sv,Savannah_14,14,.,10.65,.,0.05,0.01,0.06,44.77,0.01
Center,Savannah,Sv_15,Sv,Savannah_15,15,.,11.18,.,0.07,0.01,0.04,32.42,0.01
East,Savannah,Sv_16,Sv,Savannah_16,16,.,8.35,.,0.06,0.01,0.03,27.07,0.01
North,Savannah,Sv_17,Sv,Savannah_17,17,.,11.59,.,0.08,0,0.1,34.91,0.01
South,Savannah,Sv_18,Sv,Savannah_18,18,.,11.37,.,0.08,0.01,0.04,34.49,0.01
West,Savannah,Sv_19,Sv,Savannah_19,19,.,12.29,.,0.07,0.01,0.06,41.11,0.01
Ditch,Savannah,Sv_20,Sv,Savannah_20,20,.,7.65,.,0.04,0.02,0.04,49.89,0.02
River,Savannah,Sv_21,Sv,Savannah_21,21,.,7,.,0.01,0.12,0.05,42.07,0.07
Center,Savannah,Sv_22,Sv,Savannah_22,22,.,9.13,.,0.05,0.01,0.04,60.11,0
Ditch,Savannah,Sv_23,Sv,Savannah_23,23,.,11.68,.,0.07,0.04,0,51.57,0
East,Savannah,Sv_24,Sv,Savannah_24,24,.,11.1,.,0.06,0.02,0.06,61.68,0
North,Savannah,Sv_25,Sv,Savannah_25,25,.,7.7,.,0.06,0.02,0.09,46.23,0
River,Savannah,Sv_26,Sv,Savannah_26,26,.,18.97,.,0.03,0.21,0.02,43.5,0.15
South,Savannah,Sv_27,Sv,Savannah_27,27,.,7.64,.,0.06,0.02,0.04,61.98,0
West,Savannah,Sv_28,Sv,Savannah_28,28,.,9.31,.,0.05,0.01,0.04,36.76,0
Center,Savannah,Sv_29,Sv,Savannah_29,29,.,11.69,.,0.06,0.01,0.04,57.98,0.08
Ditch,Savannah,Sv_30,Sv,Savannah_30,30,.,11.52,.,0.06,0.01,0.03,59.67,0.03
East,Savannah,Sv_31,Sv,Savannah_31,31,.,9.81,.,0.07,0.01,0.04,36.05,0.06
North,Savannah,Sv_32,Sv,Savannah_32,32,.,12.14,.,0.07,0.01,0.06,69.28,0.06
River,Savannah,Sv_33,Sv,Savannah_33,33,.,8.2,.,0.03,0.04,0.03,31.01,0.03
South,Savannah,Sv_34,Sv,Savannah_34,34,.,10.88,.,0.06,0.01,0.04,47.18,0.05
West,Savannah,Sv_35,Sv,Savannah_35,35,.,12.63,.,0.06,0.01,0.04,62.89,0.05
Center,Savannah,Sv_36,Sv,Savannah_36,36,.,9.61,.,0.06,0.05,0.05,31.01,0.08
Ditch,Savannah,Sv_37,Sv,Savannah_37,37,.,12.24,.,0.07,0.04,0.03,49.35,0.03
East,Savannah,Sv_38,Sv,Savannah_38,38,.,15.15,.,0.07,0.02,0.04,43.52,0.06
North,Savannah,Sv_39,Sv,Savannah_39,39,.,9.55,.,0.04,0.01,0.04,38.27,0.04
River,Savannah,Sv_40,Sv,Savannah_40,40,.,13.37,.,0.07,0.07,0.02,40.07,0.04
South,Savannah,Sv_41,Sv,Savannah_41,41,.,9.59,.,0.05,0.03,0.05,38.08,0.05
West,Savannah,Sv_42,Sv,Savannah_42,42,.,11.13,.,0.06,0.03,0.04,45.66,0.04
Center,Savannah,Sv_43,Sv,Savannah_43,43,.,8.75,.,1.53,0.03,0.07,48.8,0
East,Savannah,Sv_44,Sv,Savannah_44,44,.,14.7,.,2.55,0.03,0.07,44.7,0
North,Savannah,Sv_45,Sv,Savannah_45,45,.,7.05,.,1.61,0.01,0.11,42.16,0
South,Savannah,Sv_46,Sv,Savannah_46,46,.,7.65,.,1.61,0.03,0.08,44.19,0
West,Savannah,Sv_47,Sv,Savannah_47,47,.,8.89,.,2.83,0.03,0.04,49.33,0
Ditch,Savannah,Sv_48,Sv,Savannah_48,48,.,10.91,.,0.07,0.03,0.06,52.74,0.01
River,Savannah,Sv_49,Sv,Savannah_49,49,.,8.59,.,0.07,0.03,0.02,41.31,0
Center,Savannah,Sv_50,Sv,Savannah_50,50,.,.,.,.,.,.,.,.
Ditch,Savannah,Sv_51,Sv,Savannah_51,51,.,6.42,.,0.04,0.09,0.01,44.12,0.09
East,Savannah,Sv_52,Sv,Savannah_52,52,.,3.3,.,0.03,0.03,0.09,25.04,0.01
North,Savannah,Sv_53,Sv,Savannah_53,53,.,6.69,.,0.04,0.04,0.05,42.09,0.02
River,Savannah,Sv_54,Sv,Savannah_54,54,.,6.38,.,0.03,0.19,0.07,36.59,0
South,Savannah,Sv_55,Sv,Savannah_55,55,.,4.18,.,0.03,0.04,0.05,27.5,0.02
West,Savannah,Sv_56,Sv,Savannah_56,56,.,7.96,.,0.07,0.01,0.1,43.55,0.02
Center,Savannah,Sv_57,Sv,Savannah_57,57,.,6.86,.,0.03,0.05,0.04,38.44,0.13
Ditch,Savannah,Sv_58,Sv,Savannah_58,58,.,7.73,.,0.03,0.05,0.05,42.42,0
East,Savannah,Sv_59,Sv,Savannah_59,59,.,6.7,.,0.03,0.02,0.04,35.8,0.06
North,Savannah,Sv_60,Sv,Savannah_60,60,.,6.58,.,0.05,0.04,0.09,35.08,0.06
River,Savannah,Sv_61,Sv,Savannah_61,61,.,13.34,.,0.07,0.1,0.03,46.14,0
South,Savannah,Sv_62,Sv,Savannah_62,62,.,6.2,.,0.04,0.02,0.03,38.68,0.02
West,Savannah,Sv_63,Sv,Savannah_63,63,.,7.49,.,0.08,0.03,0.09,32.57,0.05
Center,Savannah,Sv_64,Sv,Savannah_64,64,.,12.65,.,0.05,0.04,0.04,41.88,0.07
Ditch,Savannah,Sv_65,Sv,Savannah_65,65,.,7.13,.,0.03,0.05,0.01,42.94,0.02
East,Savannah,Sv_66,Sv,Savannah_66,66,.,10.98,.,0.04,0.05,0.04,39.64,0.05
North,Savannah,Sv_67,Sv,Savannah_67,67,.,12.83,.,0.06,0.09,0.06,41.21,0.04
River,Savannah,Sv_68,Sv,Savannah_68,68,.,4.07,.,0.01,0.1,0.02,29.65,0.03
South,Savannah,Sv_69,Sv,Savannah_69,69,.,12.31,.,0.03,0.06,0.04,40.54,0.03
West,Savannah,Sv_70,Sv,Savannah_70,70,.,12.88,.,0.07,0.09,0.06,43.27,0.04
Center,Savannah,Sv_71,Sv,Savannah_71,71,.,11.33,.,0.06,0.05,0.06,39.22,0.06
Ditch,Savannah,Sv_72,Sv,Savannah_72,72,.,6.63,.,0.02,0.12,0.02,50.26,0.01
East,Savannah,Sv_73,Sv,Savannah_73,73,.,5.86,.,0.01,0.04,0.04,33.13,0.04
North,Savannah,Sv_74,Sv,Savannah_74,74,.,11.66,.,0.04,0.05,0.04,39.51,0.03
River,Savannah,Sv_75,Sv,Savannah_75,75,.,4.46,.,0,0.15,0.03,48.3,0.02
South,Savannah,Sv_76,Sv,Savannah_76,76,.,10.14,.,0.03,0.05,0.06,37.6,0.02
West,Savannah,Sv_77,Sv,Savannah_77,77,.,12.71,.,0.04,0.04,0.02,44.7,0.04
Center,Savannah,Sv_78,Sv,Savannah_78,78,.,7.57,.,0.05,0.03,0.06,32.26,0.07
Ditch,Savannah,Sv_79,Sv,Savannah_79,79,.,6.43,.,0.03,0.05,0.02,44.43,0.02
East,Savannah,Sv_80,Sv,Savannah_80,80,.,4.16,.,0.04,0.03,0.06,29.39,0.07
North,Savannah,Sv_81,Sv,Savannah_81,81,.,7.99,.,0.04,0.06,0.05,33.55,0.07
River,Savannah,Sv_82,Sv,Savannah_82,82,.,17.08,.,0.06,0.22,0.04,75.01,0.05
South,Savannah,Sv_83,Sv,Savannah_83,83,.,7.23,.,0.04,0.01,0.04,33.51,0.08
West,Savannah,Sv_84,Sv,Savannah_84,84,.,12.56,.,0.08,0.04,0.06,40.62,0.08
Center,Savannah,Sv_85,Sv,Savannah_85,85,.,10.48,.,0.69,0.6,0,49.55,.
Ditch,Savannah,Sv_86,Sv,Savannah_86,86,.,7.8,.,0.39,0.43,0,52.78,.
East,Savannah,Sv_87,Sv,Savannah_87,87,.,11.53,.,0.67,0.52,0,46.84,.
North,Savannah,Sv_88,Sv,Savannah_88,88,.,10.35,.,0.51,0.79,0,47.87,.
River,Savannah,Sv_89,Sv,Savannah_89,89,.,8.55,.,0.71,0.66,0,44.79,.
South,Savannah,Sv_90,Sv,Savannah_90,90,.,10.54,.,0.42,0,0,49.46,.
West,Savannah,Sv_91,Sv,Savannah_91,91,.,9.49,.,0.45,0.52,0,47.28,.
Center,Savannah,Sv_92,Sv,Savannah_92,92,.,7.28,.,0,0.36,0,47.73,.
Ditch,Savannah,Sv_93,Sv,Savannah_93,93,.,5.49,.,0,0.33,0,35.09,.
East,Savannah,Sv_94,Sv,Savannah_94,94,.,6.79,.,0,0.5,0,40.04,.
North,Savannah,Sv_95,Sv,Savannah_95,95,.,7.88,.,0.54,0.39,0,49.13,.
River,Savannah,Sv_96,Sv,Savannah_96,96,.,4.19,.,0,0.37,0,40.56,.
South,Savannah,Sv_97,Sv,Savannah_97,97,.,6.5,.,0,0.51,0,50.53,.
West,Savannah,Sv_98,Sv,Savannah_98,98,.,10.68,.,0.7,0.5,0,42.16,.
Center,Savannah,Sv_99,Sv,Savannah_99,99,0.6451,7.69,.,0.35,0,0.84,47.02,.
Ditch,Savannah,Sv_100,Sv,Savannah_100,100,0.6854,9.98,.,0.4,0,0,30.52,.
East,Savannah,Sv_101,Sv,Savannah_101,101,0.7501,7.66,.,0,0.24,0,46.72,.
North,Savannah,Sv_102,Sv,Savannah_102,102,0.7763,8.33,.,0,0,0,52.82,.
River,Savannah,Sv_103,Sv,Savannah_103,103,0.811,6.1,.,0.34,0.17,0,29.47,.
South,Savannah,Sv_104,Sv,Savannah_104,104,0.7732,9.77,.,0,0,0,47.38,.
West,Savannah,Sv_105,Sv,Savannah_105,105,0.8098,9.97,.,0.77,0,0,53.29,.
Center well,Savannah,Sv_106,Sv,Savannah_106,106,.,.,.,.,.,.,.,
Ditch,Savannah,Sv_107,Sv,Savannah_107,107,.,.,.,.,.,.,.,
East well,Savannah,Sv_108,Sv,Savannah_108,108,.,.,.,.,.,.,.,
North well,Savannah,Sv_109,Sv,Savannah_109,109,.,.,.,.,.,.,.,
River,Savannah,Sv_110,Sv,Savannah_110,110,.,.,.,.,.,.,.,
South well,Savannah,Sv_111,Sv,Savannah_111,111,.,.,.,.,.,.,.,
West well,Savannah,Sv_112,Sv,Savannah_112,112,.,.,.,.,.,.,.,
Center well,Savannah,Sv_113,Sv,Savannah_113,113,0.8135,10.79,0,0.2326,0.6086,0,47.5875,
Ditch,Savannah,Sv_114,Sv,Savannah_114,114,0.9505,10.349,0,0,0.6953,0,52.4066,
East well,Savannah,Sv_115,Sv,Savannah_115,115,0.731,13.489,0,0.239,0.7102,0,48.2925,
North well,Savannah,Sv_116,Sv,Savannah_116,116,0.8415,10.61,0,0,0.7289,0,48.4322,
River,Savannah,Sv_117,Sv,Savannah_117,117,0.8423,10.575,0,0.4052,1.1514,0,37.4652,
South well,Savannah,Sv_118,Sv,Savannah_118,118,1.0898,11.384,0,0.4245,0.9783,0,49.3561,
West well,Savannah,Sv_119,Sv,Savannah_119,119,0.9887,10.014,0,0.4852,0.7133,0,47.1111,
Center well,Savannah,Sv_120,Sv,Savannah_120,120,0.46,13.91,0,0.37,0.3,0,41.53,
Ditch,Savannah,Sv_121,Sv,Savannah_121,121,0.42,4.28,0,3.86,0.67,0,34.2,
East well,Savannah,Sv_122,Sv,Savannah_122,122,0.5,8.14,0,0,0.05,0,44.81,
North well,Savannah,Sv_123,Sv,Savannah_123,123,0.44,14.21,0,0.28,0.13,0,49.46,
River,Savannah,Sv_124,Sv,Savannah_124,124,0.44,5.63,0,0,1.84,0,34.75,
South well,Savannah,Sv_125,Sv,Savannah_125,125,0.36,13.82,0,0,0.08,0,48.47,
West well,Savannah,Sv_126,Sv,Savannah_126,126,0.47,13.88,0,0.39,0.38,0,42.75,
Center well,Savannah,Sv_127,Sv,Savannah_127,127,0.6764,8.055,0,0.8516,1.2644,0,38.1305,
Ditch,Savannah,Sv_128,Sv,Savannah_128,128,0.7212,9.663,0.2372,0.8402,1.8334,0.7329,68.9075,
East well,Savannah,Sv_129,Sv,Savannah_129,129,0.6205,8.792,0,0.9237,1.623,0.7819,44.2427,
North well,Savannah,Sv_130,Sv,Savannah_130,130,0.6909,7.296,0,0.9162,1.6473,0.8908,41.4455,
River,Savannah,Sv_131,Sv,Savannah_131,131,0.7104,12.255,0,0.81,1.9543,0.617,60.5227,
South well,Savannah,Sv_132,Sv,Savannah_132,132,0.6839,7.354,0,0.8799,1.5908,0.7762,55.1163,
West well,Savannah,Sv_133,Sv,Savannah_133,133,0.6249,8.565,0,0.8911,1.5575,0.7596,26.2578,
Center well,Savannah,Sv_134,Sv,Savannah_134,134,0.4296,11.603,0,0.3532,0.3924,0.4129,47.0123,
Ditch,Savannah,Sv_135,Sv,Savannah_135,135,0.6573,9.089,0,0.4058,0.5409,0,49.6098,
East well,Savannah,Sv_136,Sv,Savannah_136,136,0.4104,13.51,0,0.4032,0.4267,0.337,45.6231,
North well,Savannah,Sv_137,Sv,Savannah_137,137,0.5044,12.262,0,0.5769,0.4202,0.3625,57.5069,
River,Savannah,Sv_138,Sv,Savannah_138,138,0.4591,10.048,0,0.4822,0.5059,0,32.1571,
South well,Savannah,Sv_139,Sv,Savannah_139,139,.,.,.,.,.,.,.,
West well,Savannah,Sv_140,Sv,Savannah_140,140,0.5707,11.909,0,0.4314,0.3593,0,57.8215,
Center well,Savannah,Sv_141,Sv,Savannah_141,141,0.3897,5.648,0,0.4465,0.1444,0.3859,28.1559,
Ditch,Savannah,Sv_142,Sv,Savannah_142,142,0.2944,8.414,0.8895,0.0549,0.2856,0,94.7068,
East well,Savannah,Sv_143,Sv,Savannah_143,143,0.4897,6.186,0,0.3996,0.0701,0.6024,40.0899,
North well,Savannah,Sv_144,Sv,Savannah_144,144,.,.,.,.,.,.,.,
River,Savannah,Sv_145,Sv,Savannah_145,145,0.3109,5.506,0,0.5946,0.6896,0,51.9687,
South well,Savannah,Sv_146,Sv,Savannah_146,146,0.2371,4.403,0,0.0572,0,0.336,30.4427,
West well,Savannah,Sv_147,Sv,Savannah_147,147,0.3214,10.036,0,0.8989,0,0.4329,34.3058,
Center,Sevilleta,Sl_1,Sl,Sevilleta_1,1,.,1045.61,.,0.66,1.18,0.19,597.52,0.74
East,Sevilleta,Sl_2,Sl,Sevilleta_2,2,.,1308.69,.,1.22,1.18,0.48,766.76,0.69
North,Sevilleta,Sl_3,Sl,Sevilleta_3,3,.,376.66,.,0.41,0.81,0.02,281.4,0.58
South,Sevilleta,Sl_4,Sl,Sevilleta_4,4,.,1514.14,.,0,0.56,0.15,813.1,1.71
West,Sevilleta,Sl_5,Sl,Sevilleta_5,5,.,417.29,.,0.36,1.31,0.66,317.26,0.5
Center,Sevilleta,Sl_6,Sl,Sevilleta_6,6,.,482.39,.,0.45,1.26,0,286.56,0.35
Ditch,Sevilleta,Sl_7,Sl,Sevilleta_7,7,.,94.71,.,0,0.14,0.21,143.85,0.03
East,Sevilleta,Sl_8,Sl,Sevilleta_8,8,.,1720.87,.,0,0.61,0,1047.57,0.6
North,Sevilleta,Sl_9,Sl,Sevilleta_9,9,.,253.39,.,0.37,1.32,0.72,261.18,0.37
River,Sevilleta,Sl_10,Sl,Sevilleta_10,10,.,71.18,.,0.1,0.77,0.19,97.31,0.09
South,Sevilleta,Sl_11,Sl,Sevilleta_11,11,.,1149.32,.,1.31,0.92,0.31,693.1,1.33
West,Sevilleta,Sl_12,Sl,Sevilleta_12,12,.,316.56,.,0.39,1.19,0.45,242.99,0.56
Center,Sevilleta,Sl_13,Sl,Sevilleta_13,13,.,827.92,.,0.4,10.96,0,334.18,0.28
Ditch,Sevilleta,Sl_14,Sl,Sevilleta_14,14,.,49.99,.,0.14,0.25,0.21,158.27,0.06
East,Sevilleta,Sl_15,Sl,Sevilleta_15,15,.,1024.95,.,0.31,9.17,0,450.21,0.48
North,Sevilleta,Sl_16,Sl,Sevilleta_16,16,.,552.77,.,0.45,0.73,0.03,374.72,0.31
River,Sevilleta,Sl_17,Sl,Sevilleta_17,17,.,26.27,.,0.11,0.02,0.67,73.57,0.01
South,Sevilleta,Sl_18,Sl,Sevilleta_18,18,.,1636.31,.,0,9.87,0,688.29,0.38
West,Sevilleta,Sl_19,Sl,Sevilleta_19,19,.,626.92,.,0.41,13.64,0.12,268.8,0.29
Center,Sevilleta,Sl_20,Sl,Sevilleta_20,20,.,1356.42,.,0,0,0,818.65,0.35
Ditch,Sevilleta,Sl_21,Sl,Sevilleta_21,21,.,113.15,.,0.16,0.49,0,180.87,0
East,Sevilleta,Sl_22,Sl,Sevilleta_22,22,.,1592.36,.,0,0,0,975.86,1.08
North,Sevilleta,Sl_23,Sl,Sevilleta_23,23,.,727.97,.,0,0,0,471.56,0.27
River,Sevilleta,Sl_24,Sl,Sevilleta_24,24,.,.,.,.,.,.,.,.
South,Sevilleta,Sl_25,Sl,Sevilleta_25,25,.,2247.71,.,0,0,0,1276.85,0.3
West,Sevilleta,Sl_26,Sl,Sevilleta_26,26,.,420.78,.,0.4,0.02,0,318.92,0.35
Center,Sevilleta,Sl_27,Sl,Sevilleta_27,27,.,826.79,.,0,0,0,505.54,0.31
Ditch,Sevilleta,Sl_28,Sl,Sevilleta_28,28,.,34.92,.,0.24,0.29,0.14,45.69,0.04
East,Sevilleta,Sl_29,Sl,Sevilleta_29,29,.,832.06,.,0,0,0,528.22,0.55
North,Sevilleta,Sl_30,Sl,Sevilleta_30,30,.,410.49,.,0.45,0.02,0,348.82,0.31
River,Sevilleta,Sl_31,Sl,Sevilleta_31,31,.,31.22,.,0.14,0.51,0.17,80.11,0.02
South,Sevilleta,Sl_32,Sl,Sevilleta_32,32,.,1081.85,.,0,0,0,628.92,0.95
West,Sevilleta,Sl_33,Sl,Sevilleta_33,33,.,454.63,.,0.5,0.01,0,358.63,0.42
Center,Sevilleta,Sl_34,Sl,Sevilleta_34,34,.,804.85,.,0.57,0.01,0,571.55,0.53
Ditch,Sevilleta,Sl_35,Sl,Sevilleta_35,35,.,243.62,.,0.4,0.13,0.06,258.48,0.03
East,Sevilleta,Sl_36,Sl,Sevilleta_36,36,.,1637.35,.,0.53,0.01,0,1115.76,0.79
North,Sevilleta,Sl_37,Sl,Sevilleta_37,37,.,0.68,.,0.01,0,0,2.75,0.41
River,Sevilleta,Sl_38,Sl,Sevilleta_38,38,.,47.77,.,0.11,0.57,0.15,95.31,0.08
South,Sevilleta,Sl_39,Sl,Sevilleta_39,39,.,1557.3,.,0.4,0.01,0,1031.63,1.17
West,Sevilleta,Sl_40,Sl,Sevilleta_40,40,.,607.8,.,0.47,0.01,0,622.88,0.25
Center,Sevilleta,Sl_41,Sl,Sevilleta_41,41,.,919.04,.,20.64,0.05,0,727.05,0.67
Ditch,Sevilleta,Sl_42,Sl,Sevilleta_42,42,.,99.52,.,7.37,0.16,0.13,149.94,0
East,Sevilleta,Sl_43,Sl,Sevilleta_43,43,.,1580.24,.,9.87,0.03,0,1136.23,0.83
North,Sevilleta,Sl_44,Sl,Sevilleta_44,44,.,865.56,.,23.12,0.07,0,862.96,0.56
River,Sevilleta,Sl_45,Sl,Sevilleta_45,45,.,25.45,.,3.29,0.65,0.2,76.97,0
South,Sevilleta,Sl_46,Sl,Sevilleta_46,46,.,1346.26,.,14.93,0.03,0,901.72,1.36
West,Sevilleta,Sl_47,Sl,Sevilleta_47,47,.,601.86,.,17.44,0.05,0,706.7,0.63
Center,Sevilleta,Sl_48,Sl,Sevilleta_48,48,.,1384.35,.,0.96,0.09,0,1047.54,0.47
Ditch,Sevilleta,Sl_49,Sl,Sevilleta_49,49,.,34.25,.,0.15,0.47,0.18,121.5,0.01
East,Sevilleta,Sl_50,Sl,Sevilleta_50,50,.,1300.27,.,0.71,0,0.75,866.23,1.18
North,Sevilleta,Sl_51,Sl,Sevilleta_51,51,.,765.67,.,0.66,0.11,0.02,616.9,0.57
River,Sevilleta,Sl_52,Sl,Sevilleta_52,52,.,24.14,.,0.12,0.67,0.06,150.17,0.04
South,Sevilleta,Sl_53,Sl,Sevilleta_53,53,.,1613.15,.,0.24,1.02,0,1015.32,0.94
West,Sevilleta,Sl_54,Sl,Sevilleta_54,54,.,631.31,.,0.64,0,0.09,777.94,0.5
Center,Sevilleta,Sl_55,Sl,Sevilleta_55,55,.,1718.37,.,0,0.36,0,1180.93,1.82
Ditch,Sevilleta,Sl_56,Sl,Sevilleta_56,56,.,103.85,.,0.03,0.29,0.04,144.79,0
East,Sevilleta,Sl_57,Sl,Sevilleta_57,57,.,1347.94,.,0.99,0.99,0,902.92,1.2
North,Sevilleta,Sl_58,Sl,Sevilleta_58,58,.,1622.25,.,1.3,0.87,0,1144.08,1.51
